Aggregated engagement metrics for your organic and sponsored posts over time. Date indicates when your posts were viewed by LinkedIn members. Data is delayed by up to 2 days. All dates and times are in UTC.,,,,,,,,,,,,,,,,,,,
Date,Impressions (organic),Impressions (sponsored),Impressions (total),Unique impressions (organic),Clicks (organic),Clicks (sponsored),Clicks (total),Reactions (organic),Reactions (sponsored),Reactions (total),Comments (organic),Comments (sponsored),Comments (total),Reposts (organic),Reposts (sponsored),Reposts (total),Engagement rate (organic),Engagement rate (sponsored),Engagement rate (total)
02/19/2023,52,0,52,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/20/2023,83,0,83,38,5,0,5,1,0,1,0,0,0,0,0,0,0.07228915663,0,0.07228915663
02/21/2023,101,0,101,39,4,0,4,1,0,1,0,0,0,0,0,0,0.0495049505,0,0.0495049505
02/22/2023,1553,0,1553,972,55,0,55,60,0,60,0,0,0,0,0,0,0.07405022537,0,0.07405022537
02/23/2023,1127,0,1127,622,38,0,38,27,0,27,7,0,7,2,0,2,0.06566104703,0,0.06566104703
02/24/2023,428,0,428,253,14,0,14,13,0,13,0,0,0,0,0,0,0.06308411215,0,0.06308411215
02/25/2023,390,0,390,244,12,0,12,4,0,4,0,0,0,0,0,0,0.04102564103,0,0.04102564103
02/26/2023,251,0,251,127,1,0,1,2,0,2,0,0,0,0,0,0,0.01195219124,0,0.01195219124
02/27/2023,299,0,299,131,9,0,9,4,0,4,0,0,0,1,0,1,0.04682274247,0,0.04682274247
02/28/2023,184,0,184,89,5,0,5,1,0,1,0,0,0,0,0,0,0.03260869565,0,0.03260869565
03/01/2023,105,0,105,71,2,0,2,0,0,0,0,0,0,0,0,0,0.01904761905,0,0.01904761905
03/02/2023,94,0,94,47,3,0,3,0,0,0,0,0,0,0,0,0,0.03191489362,0,0.03191489362
03/03/2023,859,0,859,445,593,0,593,17,0,17,3,0,3,2,0,2,0.7159487776,0,0.7159487776
03/04/2023,152,0,152,88,135,0,135,1,0,1,1,0,1,1,0,1,0.9078947368,0,0.9078947368
03/05/2023,171,0,171,73,70,0,70,1,0,1,0,0,0,0,0,0,0.4152046784,0,0.4152046784
03/06/2023,260,0,260,131,91,0,91,10,0,10,0,0,0,1,0,1,0.3923076923,0,0.3923076923
03/07/2023,153,0,153,104,18,0,18,5,0,5,0,0,0,0,0,0,0.1503267974,0,0.1503267974
03/08/2023,624,0,624,415,349,0,349,27,0,27,2,0,2,0,0,0,0.6057692308,0,0.6057692308
03/09/2023,251,0,251,143,150,0,150,6,0,6,0,0,0,0,0,0,0.6215139442,0,0.6215139442
03/10/2023,136,0,136,102,23,0,23,3,0,3,0,0,0,0,0,0,0.1911764706,0,0.1911764706
03/11/2023,120,0,120,71,90,0,90,4,0,4,0,0,0,0,0,0,0.7833333333,0,0.7833333333
03/12/2023,117,0,117,84,30,0,30,2,0,2,0,0,0,0,0,0,0.2735042735,0,0.2735042735
03/13/2023,122,0,122,85,32,0,32,1,0,1,0,0,0,0,0,0,0.2704918033,0,0.2704918033
03/14/2023,75,0,75,55,13,0,13,0,0,0,0,0,0,0,0,0,0.1733333333,0,0.1733333333
03/15/2023,73,0,73,47,8,0,8,0,0,0,0,0,0,0,0,0,0.1095890411,0,0.1095890411
03/16/2023,130,0,130,53,20,0,20,0,0,0,0,0,0,0,0,0,0.1538461538,0,0.1538461538
03/17/2023,765,0,765,463,432,0,432,20,0,20,4,0,4,3,0,3,0.6,0,0.6
03/18/2023,171,0,171,108,45,0,45,3,0,3,1,0,1,0,0,0,0.2865497076,0,0.2865497076
03/19/2023,157,0,157,98,90,0,90,1,0,1,0,0,0,0,0,0,0.5796178344,0,0.5796178344
03/20/2023,250,0,250,123,129,0,129,2,0,2,1,0,1,0,0,0,0.528,0,0.528
03/21/2023,94,0,94,74,15,0,15,1,0,1,0,0,0,0,0,0,0.170212766,0,0.170212766
03/22/2023,70,0,70,40,30,0,30,1,0,1,0,0,0,-1,0,-1,0.4285714286,0,0.4285714286
03/23/2023,600,0,600,431,67,0,67,44,0,44,0,0,0,2,0,2,0.1883333333,0,0.1883333333
03/24/2023,224,0,224,136,47,0,47,4,0,4,0,0,0,0,0,0,0.2276785714,0,0.2276785714
03/25/2023,122,0,122,62,24,0,24,1,0,1,0,0,0,0,0,0,0.2049180328,0,0.2049180328
03/26/2023,62,0,62,46,13,0,13,3,0,3,0,0,0,0,0,0,0.2580645161,0,0.2580645161
03/27/2023,72,0,72,52,6,0,6,2,0,2,0,0,0,0,0,0,0.1111111111,0,0.1111111111
03/28/2023,601,0,601,389,15,0,15,13,0,13,3,0,3,0,0,0,0.05158069884,0,0.05158069884
03/29/2023,665,0,665,416,41,0,41,41,0,41,0,0,0,1,0,1,0.1248120301,0,0.1248120301
03/30/2023,586,0,586,332,39,0,39,37,0,37,2,0,2,5,0,5,0.1416382253,0,0.1416382253
03/31/2023,782,0,782,469,271,0,271,25,0,25,2,0,2,3,0,3,0.3849104859,0,0.3849104859
04/01/2023,170,0,170,112,29,0,29,4,0,4,0,0,0,0,0,0,0.1941176471,0,0.1941176471
04/02/2023,186,0,186,94,70,0,70,8,0,8,0,0,0,1,0,1,0.4247311828,0,0.4247311828
04/03/2023,224,0,224,76,35,0,35,3,0,3,0,0,0,0,0,0,0.1696428571,0,0.1696428571
04/04/2023,111,0,111,66,28,0,28,2,0,2,0,0,0,0,0,0,0.2702702703,0,0.2702702703
04/05/2023,97,0,97,56,54,0,54,3,0,3,0,0,0,0,0,0,0.587628866,0,0.587628866
04/06/2023,1106,0,1106,537,457,0,457,41,0,41,3,0,3,0,0,0,0.4529837251,0,0.4529837251
04/07/2023,362,0,362,186,139,0,139,10,0,10,0,0,0,0,0,0,0.4116022099,0,0.4116022099
04/08/2023,180,0,180,100,51,0,51,3,0,3,0,0,0,0,0,0,0.3,0,0.3
04/09/2023,139,0,139,73,50,0,50,1,0,1,0,0,0,0,0,0,0.3669064748,0,0.3669064748
04/10/2023,164,0,164,81,99,0,99,2,0,2,0,0,0,0,0,0,0.6158536585,0,0.6158536585
04/11/2023,258,0,258,132,93,0,93,3,0,3,0,0,0,0,0,0,0.3720930233,0,0.3720930233
04/12/2023,189,0,189,95,47,0,47,0,0,0,0,0,0,0,0,0,0.2486772487,0,0.2486772487
04/13/2023,226,0,226,92,39,0,39,1,0,1,0,0,0,0,0,0,0.1769911504,0,0.1769911504
04/14/2023,171,0,171,59,87,0,87,1,0,1,0,0,0,0,0,0,0.514619883,0,0.514619883
04/15/2023,105,0,105,56,19,0,19,1,0,1,0,0,0,0,0,0,0.1904761905,0,0.1904761905
04/16/2023,121,0,121,54,33,0,33,1,0,1,0,0,0,0,0,0,0.2809917355,0,0.2809917355
04/17/2023,226,0,226,71,65,0,65,2,0,2,0,0,0,0,0,0,0.296460177,0,0.296460177
