"source","applications","pageviews","sessions","averageRating","candidatesCount","candidateIds"
"Indeed Sweden",21,112,57,"1.3",21,"[36531695,69479591,70495977,68888469,69521202,68352199,24363776,68789975,69235868,69867712,69772190,35953495,69598281,68065239,12211787,31095505,68655968,68250147,68952488,69541693,69325417]"
"Arbetsförmedlingen",76,349,168,"2.1",71,"[68901070,13130160,68818312,29753714,69171584,68598614,69894049,68814974,69263611,67816107,68323000,68910533,68250706,69447432,67741230,67749090,63597240,37620489,68986191,68576628,69937431,70507635,68257178,51102833,51893061,68714985,47921381,24537153,68773547,55233863,67707087,50719090,68586621,59451115,67770991,68034403,57917160,55652913,68890710,69518451,67658880,68866798,68896715,68840634,68111245,67759094,24363776,68834166,68997278,64053576,68948647,45618171,68584235,68295438,61298118,68978423,68061529,69367422,68573368,69411907,69351029,68320907,48020482,68539872,221,68644655,70503022,52320866,68187896,69837388,53495249]"
"ledigajobb.se",2,6,3,"",2,"[67845907,14038168]"
"statics.teams.cdn.office.net",1,38,14,"",1,"[69599785]"
"Google",1,12,7,"",1,"[65369615]"
"LinkedIn",58,544,282,"2.6",57,"[69814581,69292957,69829500,69134172,68568416,69325899,70559478,69910378,67780432,70501752,68145434,69507593,14999734,69607437,69880901,70246833,69728160,68721998,68558593,70555809,69298034,68739012,42531713,69399128,68920438,69456543,69606604,69305116,70160617,69674848,70391351,69863317,69730382,61123705,70390969,35168091,70504723,70468008,43004888,69673655,70088973,49573816,70390952,70473148,69345705,68223772,69927103,67943429,67770172,69682641,51882651,69518438,67801348,64769523,70502160,28279026,69957855]"
"Ledigajobbse",2,13,5,"2.0",2,"[68634351,68334019]"
"No source",65,485,355,"2.2",55,"[69174044,61652339,46736288,25890516,48903087,70397271,49390769,69945426,69395053,68590309,67678272,68655661,69953462,69617949,52450775,37620489,68011255,48693560,65843662,67969691,70406325,70574813,67981738,70440432,69608016,67768150,47601339,68337080,41053286,68337113,39021115,64795122,51436457,19625757,35003240,70592684,63930744,69418189,70362463,68804678,58392903,68094565,67441833,69111663,70400517,67814812,56286417,69458771,68655601,28116096,64769523,68785806,69177661,70504122,41877564]"
"Connect emails",4,132,86,"1.5",4,"[35528926,59010502,34506857,52197157]"
"Glassdoor",4,16,10,"",4,"[70453353,56279809,32721141,69900400]"
"jobleads.com",0,1,1,"",0,"[]"
"careersweden.knowit.se",0,129,62,"",0,"[]"
"jobseeker_emails",0,6,6,"",0,"[]"
"outlook.live.com",0,2,1,"",0,"[]"
"Employee dashboard",0,2,2,"",0,"[]"
"linktr.ee",0,2,1,"",0,"[]"
"app.teamtailor.com",0,44,8,"",0,"[]"
"jooble",0,1,1,"",0,"[]"
"careerpoland.knowit.eu",0,5,1,"",0,"[]"
"Indeed",0,1,1,"",0,"[]"
