"applications","connections","day","year","isoWeek","isoYear","isoYearIsoWeek","jobApplicationCandidateIds","month","pageviews","sessions","uniquePageviews"
1,0,8,2022,23,,202223,"[""29317342""]",6,6,2,
1,0,10,2021,36,,202136,"[""17544457""]",9,2,0,
0,0,21,2022,20,,202220,"[]",5,2,2,
3,0,7,2021,27,,202127,"[""15735806"",""15741426"",""15733687""]",7,3,0,
3,0,10,2022,6,,20226,"[""15283891"",""19840842"",""24680757""]",2,18,8,
0,0,7,2021,14,,202114,"[]",4,1,1,
0,0,10,2022,14,,202214,"[]",4,1,1,
1,0,1,2022,26,,202226,"[""30528392""]",7,1,1,
6,0,17,2021,50,,202150,"[""15315408"",""21569756"",""17743868"",""18014399"",""15531384"",""21550658""]",12,11,7,
4,0,1,2022,5,,20225,"[""23632888"",""24293055"",""20341282"",""24282351""]",2,8,1,
0,0,19,2021,37,,202137,"[]",9,1,0,
1,0,30,2022,22,,202222,"[""29195729""]",5,9,2,
2,0,5,2021,35,,202135,"[""17345759"",""17357155""]",9,2,0,
1,0,12,2022,19,,202219,"[""28412625""]",5,1,1,
2,0,10,2022,27,,202227,"[""30880769"",""30032486""]",7,6,4,
1,0,26,2021,30,,202130,"[""719536""]",7,1,0,
3,0,19,2022,16,,202216,"[""27530105"",""21345135"",""27510021""]",4,12,5,
1,0,24,2021,47,,202147,"[""20346540""]",11,3,1,
3,0,14,2022,11,,202211,"[""14494915"",""12419028"",""10237""]",3,11,4,
3,0,27,2022,12,,202212,"[""3052584"",""26575065"",""26574095""]",3,3,1,
1,0,8,2021,45,,202145,"[""19217484""]",11,4,3,
0,0,2,2021,13,,202113,"[]",4,6,1,
1,0,27,2022,4,,20224,"[""24102028""]",1,1,0,
1,0,9,2022,1,,20221,"[""23363523""]",1,1,1,
2,0,25,2021,16,,202116,"[""9630492"",""13927726""]",4,8,3,
0,0,9,2021,32,,202132,"[]",8,1,1,
2,0,22,2022,25,,202225,"[""30124104"",""30155041""]",6,2,2,
2,0,24,2021,12,,202112,"[""13113742"",""12623470""]",3,9,4,
3,0,28,2022,9,,20229,"[""25388981"",""77499"",""25394170""]",2,9,2,
2,0,5,2022,14,,202214,"[""15192262"",""26994518""]",4,5,1,
3,0,13,2022,24,,202224,"[""29806834"",""29776367"",""29793948""]",6,13,6,
1,0,7,2021,40,,202140,"[""4568063""]",10,2,1,
0,0,28,2022,17,,202217,"[]",4,1,1,
1,0,18,2021,33,,202133,"[""16834389""]",8,1,0,
1,0,4,2021,18,,202118,"[""12750164""]",5,2,0,
1,0,31,2021,52,,202152,"[""22835745""]",12,4,2,
2,0,18,2021,20,,202120,"[""14604208"",""3489178""]",5,3,1,
2,0,18,2022,3,,20223,"[""12047561"",""23716286""]",1,7,1,
0,0,17,2022,20,,202220,"[]",5,1,1,
1,0,3,2021,13,,202113,"[""12841550""]",4,2,1,
1,0,23,2021,20,,202120,"[""14715302""]",5,1,0,
1,0,14,2022,7,,20227,"[""651651""]",2,7,3,
2,0,9,2022,10,,202210,"[""25783888"",""18978607""]",3,4,1,
2,0,27,2022,26,,202226,"[""30273693"",""6180820""]",6,9,5,
0,0,6,2022,14,,202214,"[]",4,3,1,
2,0,5,2022,5,,20225,"[""24294786"",""24457871""]",2,3,1,
3,0,21,2021,51,,202151,"[""16841613"",""21658756"",""21678770""]",12,1,1,
1,0,12,2021,15,,202115,"[""13586559""]",4,1,1,
1,0,8,2022,18,,202218,"[""28224923""]",5,8,1,
2,0,23,2021,38,,202138,"[""17937787"",""17937578""]",9,4,0,
1,0,26,2022,21,,202221,"[""28985345""]",5,1,1,
1,0,30,2021,30,,202130,"[""16370822""]",7,2,0,
1,0,15,2022,15,,202215,"[""494469""]",4,1,1,
4,0,6,2022,27,,202227,"[""30723643"",""28327321"",""30742516"",""30741198""]",7,12,6,
5,0,18,2022,11,,202211,"[""26155912"",""26172355"",""26180175"",""26153084"",""26181425""]",3,15,5,
1,0,24,2021,25,,202125,"[""15465934""]",6,1,0,
0,0,11,2022,28,,202228,"[]",7,5,3,
2,0,23,2022,12,,202212,"[""25371092"",""25853084""]",3,5,2,
3,0,29,2021,13,,202113,"[""13252590"",""12065405"",""13250673""]",3,7,3,
0,0,23,2022,8,,20228,"[]",2,3,1,
2,0,15,2021,24,,202124,"[""13130160"",""9468062""]",6,1,0,
